# @name: ES -> CZ
# @phrase1: naučili jste se
# @phrase2: španělské slovíčko pro
# @quote: 0
# @accent: #FFC83C
# @accent_ref: #C83C50
nový	nuevo
domov	hogar
strana	página
vyhledávání	buscar
uvolnit	gratis
jeden	uno
informace	información
čas	tiempo
místo	sitio
zprávy	noticias
použití	usar
žádný	cualquier
vidět	ver
kontakt	contacto
podnikání	negocio
pomoc	ayuda
získat	conseguir
pohled	vista
online	en línea
první	primero
služby	servicios
klikněte	hacer clic
jako	como
servis	servicio
nalézt	encontrar
cena	precio
datum	fecha
zadní	atrás
nahoře	arriba
lidé	gente
seznam	lista
jméno	nombre
stát	estado
rok	año
den	día
e-mail	correo electrónico
dva	dos
zdraví	salud
svět	mundo
další	próximo
použitý	usado
práce	trabajar
poslední	último
produkty	productos
hudba	música
nakoupit	comprar
data	datos
udělat	hacer
produkt	producto
systém	sistema
zveřejnit	correo
město	ciudad
přidat	agregar
politika	política
číslo	número
k dispozici	disponible
copyright	derechos de autor
podpora	apoyo
zpráva	mensaje
nejlepší	mejor
jan	ene
dobrý	bien
dobře	bueno
info	información
práv	derechos
veřejnost	público
knihy	libros
vysoký	alto
škola	escuela
odkazy	campo de golf
recenze	revisar
let	años
objednávka	orden
soukromí	privacidad
rezervovat	libro
položky	elementos
společnost	compañía
číst	leer
skupina	grupo
potřeba	necesidad
uživatel	usuario
řekl	dicho
soubor	colocar
generál	general
výzkum	investigación
univerzita	universidad
leden	enero
pošta	correo
plný	lleno
recenze	opiniones
naprogramovat	programa
život	vida
vědět	saber
hry	juegos
cesta	forma
dní	días
řízení	gestión
část	parte
velký	excelente
sjednocený	unido
nemovitý	real
položka	artículo
mezinárodní	internacional
centrum	centro
obchod	almacenar
cestovat	viajar
komentáře	comentarios
vyrobeno	hecho
rozvoj	desarrollo
zpráva	informe
člen	miembro
podrobnosti	detalles
čára	línea
podmínky	términos
hotely	hoteles
poslat	enviar
právo	bien
typ	tipo
místní	local
pomocí	usando
výsledky	resultados
kancelář	oficina
školství	educación
národní	nacional
design	diseño
vzít	llevar
zveřejněno	al corriente
adresa	dirección
společenství	comunidad
v	dentro
státy	estados
plocha	área
chtít	desear
telefon	teléfono
expedice	envío
rezervováno	reservado
podrobit	sujeto
forum	foro
rodina	familia
dlouho	largo
založené	basado
kód	código
show	espectáculo
černý	negro
kontrola	controlar
speciální	especial
ceny	precios
webové stránky	sitio web
index	índice
ženy	mujer
znamení	firmar
soubor	archivo
odkaz	enlace
otevřeno	abierto
dnes	hoy
technologie	tecnología
jižní	sur
věc	caso
projekt	proyecto
stejný	mismo
stránky	paginas
verze	versión
sekce	sección
vlastní	propio
nalezeno	encontró
sportovní	deportes
dům	casa
související	relacionado
zabezpečení	seguridad
hrabství	condado
americký	americano
fotografie	foto
hra	juego
členů	miembros
moc	fuerza
péče	cuidado
síť	red
počítač	computadora
systémy	sistemas
tři	tres
celkový	total
místo	lugar
konec	fin
následující	siguiente
stáhnout	descargar
bez	sin
za	por
přístup	acceso
myslet	pensar
severní	norte
zdroje	recursos
proud	actual
příspěvky	publicaciones
velký	grande
média	medios de comunicación
zákon	ley
řízení	control
voda	agua
dějiny	historia
obrázky	fotos
velikost	tamaño
umění	arte
osobní	personal
včetně	incluido
průvodce	guía
nakupovat	comercio
adresář	directorio
rada	junta
umístění	ubicación
přeměna	cambiar
bílý	blanco
text	texto
malý	pequeño
hodnocení	clasificación
hodnotit	tasa
vláda	gobierno
děti	niños
usa	ee.uu
návrat	devolver
studentů	estudiantes
nakupování	compras
účet	cuenta
časy	veces
stránky	sitios
úroveň	nivel
digitální	digital
profil	perfil
předchozí	anterior
formulář	forma
události	eventos
láska	amar
starý	viejo
jan	john
hlavní	principal
volání	llamar
hodin	horas
obraz	imagen
oddělení	departamento
titul	título
popis	descripción
ne	no
pojištění	seguro
další	otro
vlastnictví	propiedad
třída	clase
peníze	dinero
kvalitní	calidad
výpis	listado
obsah	contenido
země	país
soukromé	privado
málo	pequeño
návštěva	visita
uložit	ahorrar
nástroje	herramientas
nízký	bajo
odpověď	responder
zákazník	cliente
prosinec	diciembre
porovnat	comparar
filmy	cine
zahrnout	incluir
vysoká škola	colega
hodnota	valor
článek	artículo
muž	hombre
karta	tarjeta
pracovních míst	empleos
poskytnout	proporcionar
jídlo	alimento
zdroj	fuente
jiný	diferente
stiskněte	prensa
učit se	aprender
prodej	venta
kolem	alrededor
vytisknout	imprimir
kurs	curso
práce	trabajo
kanada	canadá
proces	proceso
dospívající	adolescente
pokoj	habitación
sklad	existencias
výcvik	capacitación
kredit	crédito
bod	punto
připojit se	unirse
věda	ciencia
muži	hombres
kategorie	categorias
moderní	avanzado
západ	oeste
prodeje	ventas
podívejte	mirar
angličtina	inglés
vlevo	izquierda
tým	equipo
majetek	bienes
krabice	caja
podmínky	condiciones
vybrat	seleccionar
okna	ventanas
fotografie	fotos
gay	homosexuales
vlákno	hilo
týden	semana
kategorie	categoría
poznámka	nota
žít	vivir
velký	grande
galerie	galería
tabulka	mesa
rejstřík	registro
však	sin embargo
červen	junio
říjen	octubre
listopad	noviembre
trh	mercado
knihovna	biblioteca
opravdu	en realidad
akce	acción
start	comenzar
série	serie
model	modelo
funkce	características
vzduch	aire
průmysl	industria
plán	plan
člověk	humano
pokud	proporcionó
požadovaný	requerido
druhý	segundo
horký	caliente
příslušenství	accesorios
náklady	costo
film	película
fórech	foros
pochod	marzo
září	septiembre
lepší	mejor
říci	decir
otázky	preguntas
červenec	julio
jít	yendo
lékařský	médico
test	prueba
přítel	amigo
přijít	venir
prosinec	dic
server	servidor
studie	estudiar
aplikace	solicitud
vozík	carro
personál	personal
články	artículos
zpětná vazba	comentario
znovu	de nuevo
hrát	jugar
hledá	mirando
problémy	asuntos
duben	abril
uživatelů	usuarios
kompletní	completo
ulice	calle
téma	tema
komentář	comentario
finanční	financiero
věci	cosas
pracovní	laboral
norma	estándar
daň	impuesto
osoba	persona
mobilní	móvil
méně	menos
dostal	consiguió
strana	fiesta
platba	pago
zařízení	equipo
přihlášení	acceso
student	alumno
nechat	dejar
programy	programas
nabídky	ofertas
právní	legal
nedávné	reciente
park	parque
obchody	víveres
strana	lado
akt	acto
problém	problema
červený	rojo
dát	dar
paměť	memoria
výkon	actuación
sociální	social
srpen	agosto
citovat	cita
jazyk	idioma
příběh	historia
prodat	vender
možnosti	opciones
zažít	experiencia
sazby	tarifas
vytvořit	crear
klíč	llave
tělo	cuerpo
mladý	joven
amerika	américa
důležité	importante
pole	campo
východní	este
papír	papel
singl	soltero
stáří	edad
činnosti	actividades
klub	club
příklad	ejemplo
dívky	chicas
další	adicional
heslo	contraseña
nejnovější	el último
něco	algo
silnice	camino
dárek	regalo
otázka	pregunta
změny	cambios
noc	noche
tvrdý	duro
okt	oct
platit	pagar
čtyři	cuatro
poker	póker
postavení	estado
prohlížet	navegar
problém	asunto
rozsah	rango
budova	edificio
prodejce	vendedor
soud	corte
únor	febrero
výsledek	resultado
světlo	luz
napsat	escribir
válka	guerra
listopad	nov
nabídka	oferta
modrý	azul
skupiny	grupos
snadný	fácil
daný	dado
soubory	archivos
událost	evento
uvolnění	liberar
analýza	análisis
žádost	pedido
čína	porcelana
vytváření	haciendo
obrázek	imagen
potřeby	necesidades
možné	posible
profesionální	profesional
měsíc	mes
hlavní	importante
hvězda	estrella
oblastí	áreas
budoucnost	futuro
plocha	espacio
výbor	comité
ruka	mano
slunce	sol
karty	tarjetas
problémy	problemas
londýn	londres
zasedání	reunión
stát se	convertirse
zajímat	interés
dítě	niño
zachovat	mantener
vstoupit	ingresar
kalifornie	california
podíl	compartir
podobný	similar
zahrada	jardín
školy	escuelas
milión	millón
přidáno	agregado
odkaz	referencia
společnosti	empresas
uvedeny	listado
dítě	bebé
učení	aprendiendo
energie	energía
běh	correr
dodání	entrega
síť	neto
populární	popular
období	término
film	película
příběhy	historias
dát	poner
počítače	computadoras
časopis	diario
zprávy	informes
pokus	intentar
vítejte	bienvenido
centrální	central
obrázky	imágenes
prezident	presidente
oznámení	aviso
originál	original
hlava	cabeza
rádio	radio
buňka	celúla
barva	color
já	ser
rada	concejo
pryč	lejos
zahrnuje	incluye
dráha	pista
austrálie	australia
diskuse	discusión
archiv	archivo
jednou	una vez
ostatní	otros
zábava	entretenimiento
dohoda	acuerdo
formát	formato
nejméně	el menos
společnost	sociedad
měsíce	meses
log	registro
bezpečnost	seguridad
přátelé	amigos
jistě	seguro
často kladené otázky	preguntas frecuentes
obchod	comercio
vydání	edición
auta	carros
zprávy	mensajes
sdělit	decir
další	más
aktualizováno	actualizado
sdružení	asociación
schopný	capaz
mít	teniendo
poskytuje	proporciona
zábava	divertido
zelený	verde
studie	estudios
blízko	cerca
společný	común
řídit	conducir
konkrétní	específico
několik	varios
zlato	oro
únor	feb
živobytí	viviendo
září	sep
sbírka	recopilación
volal	llamado
krátký	corto
umění	letras
hodně	lote
požádat	preguntar
zobrazit	mostrar
omezený	limitado
napájen	motorizado
řešení	soluciones
prostředek	medio
ředitel	director
denní	a diario
pláž	playa
minulost	pasado
přírodní	natural
zda	si
splatná	pendiente
elektronika	electrónica
pět	cinco
na	al
období	período
plánování	planificación
databáze	base de datos
říká	dice
oficiální	oficial
počasí	clima
přistát	tierra
průměrný	promedio
hotovo	hecho
technický	técnico
okno	ventana
francie	francia
kraj	región
ostrov	isla
záznam	registro
řídit	directo
konference	conferencia
prostředí	ambiente
evidence	archivos
okres	distrito
kalendář	calendario
náklady	costos
styl	estilo
přední	frente
prohlášení	declaración
aktualizovat	actualizar
díly	regiones
srpen	ago
stahování	descargas
brzy	temprano
mil	millas
zvuk	sonido
zdroj	recurso
současnost	presente
aplikací	aplicaciones
před	atrás
dokument	documento
slovo	palabra
funguje	obras
materiál	material
účtovat	factura
duben	abr
napsáno	escrito
mluvit	hablar
federální	federal
hostování	alojamiento
pravidla	normas
finále	final
dospělý	adulto
vstupenky	entradas
věc	cosa
centrum	centro
požadavky	requisitos
přes	a través de
levný	barato
děti	niños
finance	finanzas
věrný	verdadero
zápis	minutos
jiný	demás
označit	marca
třetí	tercero
rock	roca
dárky	regalos
evropa	europa
čtení	lectura
témata	temas
špatný	malo
individuální	individual
tipy	consejos
plus	más
pokrýt	cubrir
obvykle	generalmente
upravit	editar
spolu	juntos
videa	vídeos
procent	por ciento
rychle	rápido
funkce	función
skutečnost	hecho
jednotka	unidad
získávání	conseguir
globální	global
tech	tecnología
setkat se	encontrarse
daleko	lejos
hospodářský	económico
hráč	jugador
projekty	proyectos
text	lírica
upsat	suscribir
předložit	entregar
německo	alemania
množství	cantidad
hodinky	mirar
v ceně	incluido
cítit	sentir
banka	banco
riziko	riesgo
všechno	todo
nabídky	ofertas
různé	varios
slova	palabras
července	jul
výroba	producción
komerční	comercial
james	jaime
hmotnost	peso
město	ciudad
srdce	corazón
inzerce	publicidad
přijaté	recibió
vybrat	elegir
zacházení	tratamiento
bulletin	hoja informativa
archiv	archivo
body	agujas
znalost	conocimiento
časopis	revista
chyba	error
fotoaparát	cámara
dívka	chica
v současné době	actualmente
konstrukce	construcción
hračky	juguetes
registrovaný	registrado
jasný	claro
dostávat	recibir
doména	dominio
metody	metodos
kapitola	capítulo
dělá	marcas
ochrana	protección
politiky	políticas
půjčka	préstamo
široký	ancho
krása	belleza
manažer	gerente
indie	india
pozice	posición
přijato	tomado
seřadit	clasificar
výpisy	listados
modely	modelos
michael	miguel
známý	conocido
půl	medio
případy	casos
krok	paso
inženýrství	ingeniería
jednoduchý	simple
rychlý	rápido
žádný	ninguno
bezdrátový	inalámbrico
licence	licencia
pavel	pablo
pátek	viernes
jezero	lago
celý	entero
výroční	anual
zveřejněno	publicado
později	más tarde
základní	básico
ukazuje	muestra
firemní	corporativo
kostel	iglesia
metoda	método
nákup	compra
zákazníky	clientes
aktivní	activo
odpověď	respuesta
praxe	práctica
železářské zboží	hardware
postava	cifra
materiálů	materiales
oheň	fuego
dovolená	día festivo
povídání	charlar
dost	suficiente
navržený	diseñado
podél	a lo largo de
mezi	entre
smrt	muerte
psaní	escribiendo
rychlost	velocidad
zemí	países
ztráta	pérdida
tvář	rostro
značka	marca
sleva	descuento
vyšší	más alto
efekty	efectos
vytvořené	creado
pamatovat si	recordar
standardy	estándares
olej	aceite
bit	poco
žluť	amarillo
politický	político
zvýšení	aumentar
inzerovat	anunciar
království	reino
báze	base
u	cerca
životního prostředí	ambiental
myšlení	pensamiento
nacpat	cosa
francouzština	francés
skladování	almacenamiento
japonsko	japón
dělá	haciendo
půjčky	préstamos
obuv	zapatos
vstup	entrada
