# @name: EN -> CZ
# @phrase1: naučili jste se
# @phrase2: anglické slovíčko pro
# @quote: 0
# @accent: #64A0FF
# @accent_ref: #C83C50
nový	new
domov	home
strana	page
vyhledávání	search
uvolnit	free
jeden	one
informace	information
čas	time
místo	site
zprávy	news
použití	use
žádný	any
vidět	see
kontakt	contact
podnikání	business
pomoc	help
získat	get
pohled	view
první	first
služby	services
klikněte	click
jako	like
servis	service
nalézt	find
cena	price
datum	date
zadní	back
nahoře	top
lidé	people
seznam	list
jméno	name
stát	state
rok	year
den	day
e-mail	email
dva	two
zdraví	health
svět	world
další	next
použitý	used
práce	work
poslední	last
produkty	products
hudba	music
nakoupit	buy
udělat	make
produkt	product
systém	system
zveřejnit	post
město	city
přidat	add
politika	policy
číslo	number
k dispozici	available
podpora	support
zpráva	message
nejlepší	best
dobrý	good
dobře	well
práv	rights
veřejnost	public
knihy	books
vysoký	high
škola	school
odkazy	links
recenze	review
let	years
objednávka	order
soukromí	privacy
rezervovat	book
položky	items
společnost	company
číst	read
skupina	group
potřeba	need
uživatel	user
řekl	said
soubor	set
generál	general
výzkum	research
univerzita	university
leden	january
pošta	mail
plný	full
mapa	map
recenze	reviews
naprogramovat	program
život	life
vědět	know
hry	games
cesta	way
dní	days
řízení	management
část	part
velký	great
sjednocený	united
nemovitý	real
položka	item
mezinárodní	international
centrum	center
obchod	store
cestovat	travel
komentáře	comments
vyrobeno	made
rozvoj	development
zpráva	report
člen	member
podrobnosti	details
čára	line
podmínky	terms
hotely	hotels
poslat	send
právo	right
typ	type
místní	local
pomocí	using
výsledky	results
kancelář	office
školství	education
národní	national
auto	car
vzít	take
zveřejněno	posted
adresa	address
společenství	community
v	within
státy	states
plocha	area
chtít	want
telefon	phone
expedice	shipping
rezervováno	reserved
podrobit	subject
rodina	family
dlouho	long
založené	based
kód	code
černý	black
kontrola	check
speciální	special
ceny	prices
webové stránky	website
ženy	women
znamení	sign
soubor	file
odkaz	link
otevřeno	open
dnes	today
technologie	technology
jižní	south
věc	case
projekt	project
stejný	same
stránky	pages
verze	version
sekce	section
vlastní	own
nalezeno	found
sportovní	sports
dům	house
související	related
zabezpečení	security
hrabství	county
americký	american
fotografie	photo
hra	game
členů	members
moc	power
péče	care
síť	network
počítač	computer
systémy	systems
tři	three
celkový	total
místo	place
konec	end
následující	following
stáhnout	download
bez	without
za	per
přístup	access
myslet	think
severní	north
zdroje	resources
proud	current
příspěvky	posts
velký	big
média	media
zákon	law
řízení	control
voda	water
dějiny	history
obrázky	pictures
velikost	size
umění	art
osobní	personal
včetně	including
průvodce	guide
nakupovat	shop
adresář	directory
rada	board
umístění	location
přeměna	change
bílý	white
malý	small
hodnocení	rating
hodnotit	rate
vláda	government
děti	children
návrat	return
studentů	students
nakupování	shopping
účet	account
časy	times
stránky	sites
úroveň	level
digitální	digital
profil	profile
předchozí	previous
formulář	form
události	events
láska	love
starý	old
jan	john
hlavní	main
volání	call
hodin	hours
obraz	image
oddělení	department
titul	title
popis	description
ne	non
pojištění	insurance
další	another
vlastnictví	property
třída	class
peníze	money
kvalitní	quality
výpis	listing
obsah	content
země	country
soukromé	private
málo	little
návštěva	visit
uložit	save
nástroje	tools
nízký	low
odpověď	reply
zákazník	customer
prosinec	december
porovnat	compare
filmy	movies
zahrnout	include
vysoká škola	college
hodnota	value
článek	article
muž	man
karta	card
pracovních míst	jobs
poskytnout	provide
jídlo	food
zdroj	source
autor	author
jiný	different
stiskněte	press
učit se	learn
prodej	sale
kolem	around
vytisknout	print
kurs	course
práce	job
kanada	canada
proces	process
dospívající	teen
pokoj	room
sklad	stock
výcvik	training
kredit	credit
bod	point
připojit se	join
věda	science
muži	men
kategorie	categories
moderní	advanced
západ	west
prodeje	sales
podívejte	look
angličtina	english
vlevo	left
tým	team
majetek	estate
krabice	box
podmínky	conditions
vybrat	select
okna	windows
fotografie	photos
