# @name: ES -> EN
# @phrase1: You have learned the
# @phrase2: Spanish word for
# @quote: 0
# @accent: #FFC83C
# @accent_ref: #64A0FF
new	nuevo
home	hogar
page	página
search	buscar
free	gratis
one	uno
information	información
time	tiempo
site	sitio
news	noticias
use	usar
any	cualquier
see	ver
contact	contacto
business	negocio
help	ayuda
get	conseguir
view	vista
online	en línea
first	primero
services	servicios
click	hacer clic
like	como
service	servicio
find	encontrar
price	precio
date	fecha
back	atrás
top	arriba
people	gente
list	lista
name	nombre
state	estado
year	año
day	día
email	correo electrónico
two	dos
health	salud
world	mundo
next	próximo
used	usado
work	trabajar
last	último
products	productos
music	música
buy	comprar
data	datos
make	hacer
product	producto
system	sistema
post	correo
city	ciudad
add	agregar
policy	política
number	número
available	disponible
copyright	derechos de autor
support	apoyo
message	mensaje
best	mejor
jan	ene
good	bien
well	bueno
info	información
rights	derechos
public	público
books	libros
high	alto
school	escuela
links	campo de golf
review	revisar
years	años
order	orden
privacy	privacidad
book	libro
items	elementos
company	compañía
read	leer
group	grupo
need	necesidad
user	usuario
said	dicho
set	colocar
research	investigación
university	universidad
january	enero
mail	correo
full	lleno
map	mapa
reviews	opiniones
program	programa
life	vida
know	saber
games	juegos
way	forma
days	días
management	gestión
part	parte
great	excelente
united	unido
item	artículo
international	internacional
center	centro
store	almacenar
travel	viajar
comments	comentarios
made	hecho
development	desarrollo
report	informe
member	miembro
details	detalles
line	línea
terms	términos
hotels	hoteles
send	enviar
right	bien
type	tipo
using	usando
results	resultados
office	oficina
education	educación
national	nacional
car	auto
design	diseño
take	llevar
posted	al corriente
address	dirección
community	comunidad
within	dentro
states	estados
area	área
want	desear
phone	teléfono
shipping	envío
reserved	reservado
subject	sujeto
forum	foro
family	familia
long	largo
based	basado
code	código
show	espectáculo
black	negro
check	controlar
special	especial
prices	precios
website	sitio web
index	índice
women	mujer
sign	firmar
file	archivo
link	enlace
open	abierto
today	hoy
technology	tecnología
south	sur
case	caso
project	proyecto
same	mismo
pages	paginas
version	versión
section	sección
own	propio
found	encontró
sports	deportes
house	casa
related	relacionado
security	seguridad
county	condado
american	americano
photo	foto
game	juego
members	miembros
power	fuerza
care	cuidado
network	red
computer	computadora
systems	sistemas
three	tres
place	lugar
end	fin
following	siguiente
download	descargar
without	sin
per	por
access	acceso
think	pensar
north	norte
resources	recursos
current	actual
posts	publicaciones
big	grande
media	medios de comunicación
law	ley
water	agua
history	historia
pictures	fotos
size	tamaño
art	arte
including	incluido
guide	guía
shop	comercio
directory	directorio
board	junta
location	ubicación
change	cambiar
white	blanco
text	texto
small	pequeño
rating	clasificación
rate	tasa
government	gobierno
children	niños
usa	ee.uu
return	devolver
students	estudiantes
shopping	compras
account	cuenta
times	veces
sites	sitios
level	nivel
profile	perfil
previous	anterior
form	forma
events	eventos
love	amar
old	viejo
main	principal
call	llamar
hours	horas
image	imagen
department	departamento
title	título
description	descripción
non	no
insurance	seguro
another	otro
property	propiedad
class	clase
money	dinero
quality	calidad
listing	listado
content	contenido
country	país
private	privado
little	pequeño
visit	visita
save	ahorrar
tools	herramientas
low	bajo
reply	responder
customer	cliente
december	diciembre
compare	comparar
movies	cine
include	incluir
college	colega
value	valor
article	artículo
man	hombre
card	tarjeta
jobs	empleos
provide	proporcionar
food	alimento
source	fuente
author	autor
different	diferente
press	prensa
learn	aprender
sale	venta
around	alrededor
print	imprimir
course	curso
job	trabajo
canada	canadá
process	proceso
teen	adolescente
room	habitación
stock	existencias
training	capacitación
credit	crédito
point	punto
join	unirse
science	ciencia
men	hombres
categories	categorias
advanced	avanzado
west	oeste
sales	ventas
look	mirar
english	inglés
left	izquierda
team	equipo
estate	bienes
box	caja
conditions	condiciones
select	seleccionar
windows	ventanas
photos	fotos
gay	homosexuales
thread	hilo
week	semana
category	categoría
note	nota
live	vivir
large	grande
gallery	galería
table	mesa
register	registro
however	sin embargo
june	junio
october	octubre
november	noviembre
market	mercado
library	biblioteca
really	en realidad
action	acción
start	comenzar
series	serie
model	modelo
features	características
air	aire
industry	industria
human	humano
provided	proporcionó
required	requerido
second	segundo
hot	caliente
accessories	accesorios
cost	costo
movie	película
forums	foros
march	marzo
september	septiembre
better	mejor
say	decir
questions	preguntas
july	julio
going	yendo
medical	médico
test	prueba
friend	amigo
come	venir
dec	dic
server	servidor
study	estudiar
application	solicitud
cart	carro
staff	personal
articles	artículos
feedback	comentario
again	de nuevo
play	jugar
looking	mirando
issues	asuntos
april	abril
users	usuarios
complete	completo
street	calle
topic	tema
comment	comentario
financial	financiero
things	cosas
working	laboral
standard	estándar
tax	impuesto
person	persona
mobile	móvil
less	menos
got	consiguió
party	fiesta
payment	pago
equipment	equipo
login	acceso
student	alumno
let	dejar
programs	programas
offers	ofertas
recent	reciente
park	parque
stores	víveres
side	lado
act	acto
problem	problema
red	rojo
give	dar
memory	memoria
performance	actuación
august	agosto
quote	cita
language	idioma
story	historia
sell	vender
options	opciones
experience	experiencia
rates	tarifas
create	crear
key	llave
body	cuerpo
